version,org_name,xls_path,upload_date,state,action_datetime,csv_junior_path,csv_senior_path,xls-filename,junior-csv-filename,senior-csv-filename
30/09/2011,Advisory Conciliation and Arbitration Service,/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls,2011-12-04T00:00:00,published,2011-12-04T20:59:00,/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa-junior-data.csv,/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa-senior-data.csv,advisory-conciliation-and-arbitration-service__30-09-2011__acas_ACAS-SEPT-2011-TRANSPERANCYa.xls,advisory-conciliation-and-arbitration-service__30-09-2011__acas_ACAS-SEPT-2011-TRANSPERANCYa-junior.csv,advisory-conciliation-and-arbitration-service__30-09-2011__acas_ACAS-SEPT-2011-TRANSPERANCYa-senior.csv
30/09/2011,Office of the Advocate General for Scotland,/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls,2011-12-05T00:00:00,published,2011-12-05T10:54:00,/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011-junior-data.csv,/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011-senior-data.csv,office-of-the-advocate-general-for-scotland__30-09-2011__advocategeneral_300911-Transparency-Data-for-government-staff-and-salary-OAG-template-November-2011.xls,office-of-the-advocate-general-for-scotland__30-09-2011__advocategeneral_300911-Transparency-Data-for-government-staff-and-salary-OAG-template-November-2011-junior.csv,office-of-the-advocate-general-for-scotland__30-09-2011__advocategeneral_300911-Transparency-Data-for-government-staff-and-salary-OAG-template-November-2011-senior.csv
30/09/2011,AHRC,/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls,2011-12-04T00:00:00,published,2011-12-04T18:36:00,/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011-junior-data.csv,/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011-senior-data.csv,ahrc__30-09-2011__ahrc_final-data-for-organogram-as-at-30092011.xls,ahrc__30-09-2011__ahrc_final-data-for-organogram-as-at-30092011-junior.csv,ahrc__30-09-2011__ahrc_final-data-for-organogram-as-at-30092011-senior.csv
30/09/2011,Animal Health Veterinary Laboritories Agency,/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:36:00,/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011-junior-data.csv,/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011-senior-data.csv,animal-health-veterinary-laboritories-agency__30-09-2011__ahvla_AHVLA-government-staff-and-salary-data-blank-template-October-2011.xls,animal-health-veterinary-laboritories-agency__30-09-2011__ahvla_AHVLA-government-staff-and-salary-data-blank-template-October-2011-junior.csv,animal-health-veterinary-laboritories-agency__30-09-2011__ahvla_AHVLA-government-staff-and-salary-data-blank-template-October-2011-senior.csv
30/09/2011,Asset Protection Agency,/data/apa/2011-09-30/APA-Government-staff-and-salary-data--template---October-2011-V4.xls,2011-12-04T00:00:00,published,2011-12-04T18:37:00,/data/apa/2011-09-30/APA-Government-staff-and-salary-data--template---October-2011-V4-junior-data.csv,/data/apa/2011-09-30/APA-Government-staff-and-salary-data--template---October-2011-V4-senior-data.csv,asset-protection-agency__30-09-2011__apa_APA-Government-staff-and-salary-data-template-October-2011-V4.xls,asset-protection-agency__30-09-2011__apa_APA-Government-staff-and-salary-data-template-October-2011-V4-junior.csv,asset-protection-agency__30-09-2011__apa_APA-Government-staff-and-salary-data-template-October-2011-V4-senior.csv
30/09/2011,Appointments Commission,/data/appointments/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011-(2).xls,2011-12-04T00:00:00,published,2011-12-04T18:38:00,/data/appointments/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011-(2)-junior-data.csv,/data/appointments/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011-(2)-senior-data.csv,appointments-commission__30-09-2011__appointments_Copy-of-government-staff-and-salary-data-blank-template-October-2011-2.xls,appointments-commission__30-09-2011__appointments_Copy-of-government-staff-and-salary-data-blank-template-October-2011-2-junior.csv,appointments-commission__30-09-2011__appointments_Copy-of-government-staff-and-salary-data-blank-template-October-2011-2-senior.csv
30/09/2011,Audit Commission,/data/audit-commission/2011-09-30/300911-Audit-Commission-Organogram-ver-3.xls,2011-12-04T00:00:00,published,2011-12-04T18:38:00,/data/audit-commission/2011-09-30/300911-Audit-Commission-Organogram-ver-3-junior-data.csv,/data/audit-commission/2011-09-30/300911-Audit-Commission-Organogram-ver-3-senior-data.csv,audit-commission__30-09-2011__audit-commission_300911-Audit-Commission-Organogram-ver-3.xls,audit-commission__30-09-2011__audit-commission_300911-Audit-Commission-Organogram-ver-3-junior.csv,audit-commission__30-09-2011__audit-commission_300911-Audit-Commission-Organogram-ver-3-senior.csv
30/09/2011,Biotechnology and Biological Sciences Research Council,/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls,2011-12-08T00:00:00,published,2011-12-08T08:39:00,/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011-junior-data.csv,/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011-senior-data.csv,biotechnology-and-biological-sciences-research-council__30-09-2011__bbsrc_BBSRC-Transparency-Return-October-2011.xls,biotechnology-and-biological-sciences-research-council__30-09-2011__bbsrc_BBSRC-Transparency-Return-October-2011-junior.csv,biotechnology-and-biological-sciences-research-council__30-09-2011__bbsrc_BBSRC-Transparency-Return-October-2011-senior.csv
30/09/2011,Department for Business Innovation and Skills,/data/bis/2011-09-30/BIS021211-Government-staff-and-salary-data-template.xls,2011-12-08T00:00:00,published,2011-12-08T14:14:00,/data/bis/2011-09-30/BIS021211-Government-staff-and-salary-data-template-junior-data.csv,/data/bis/2011-09-30/BIS021211-Government-staff-and-salary-data-template-senior-data.csv,department-for-business-innovation-and-skills__30-09-2011__bis_BIS021211-Government-staff-and-salary-data-template.xls,department-for-business-innovation-and-skills__30-09-2011__bis_BIS021211-Government-staff-and-salary-data-template-junior.csv,department-for-business-innovation-and-skills__30-09-2011__bis_BIS021211-Government-staff-and-salary-data-template-senior.csv
30/09/2011,The British Library,/data/bl/2011-09-30/British-Library-Staff-and-Salary-Data---November-2011.xls,2011-12-06T00:00:00,uploaded,2011-12-06T10:37:00,/data/bl/2011-09-30/British-Library-Staff-and-Salary-Data---November-2011-junior-data.csv,/data/bl/2011-09-30/British-Library-Staff-and-Salary-Data---November-2011-senior-data.csv,the-british-library__30-09-2011__bl_British-Library-Staff-and-Salary-Data-November-2011.xls,the-british-library__30-09-2011__bl_British-Library-Staff-and-Salary-Data-November-2011-junior.csv,the-british-library__30-09-2011__bl_British-Library-Staff-and-Salary-Data-November-2011-senior.csv
30/09/2011,British Museum,/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls,2011-12-06T00:00:00,published,2011-12-06T09:51:00,/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data-junior-data.csv,/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data-senior-data.csv,british-museum__30-09-2011__britishmuseum_The-British-Museum-300911-Organogram-data.xls,british-museum__30-09-2011__britishmuseum_The-British-Museum-300911-Organogram-data-junior.csv,british-museum__30-09-2011__britishmuseum_The-British-Museum-300911-Organogram-data-senior.csv
30/09/2011,British Transport Police Authority,/data/btp/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:39:00,/data/btp/2011-09-30/government-staff-and-salary-data-blank-template---October-2011-junior-data.csv,/data/btp/2011-09-30/government-staff-and-salary-data-blank-template---October-2011-senior-data.csv,british-transport-police-authority__30-09-2011__btp_government-staff-and-salary-data-blank-template-October-2011.xls,british-transport-police-authority__30-09-2011__btp_government-staff-and-salary-data-blank-template-October-2011-junior.csv,british-transport-police-authority__30-09-2011__btp_government-staff-and-salary-data-blank-template-October-2011-senior.csv
30/09/2011,Government Procurement Service,/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls,2011-12-06T00:00:00,published,2011-12-06T12:02:00,/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est-junior-data.csv,/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est-senior-data.csv,government-procurement-service__30-09-2011__buyingsolutions_Government-Staff-and-Salary-data-template-October-2011-est.xls,government-procurement-service__30-09-2011__buyingsolutions_Government-Staff-and-Salary-data-template-October-2011-est-junior.csv,government-procurement-service__30-09-2011__buyingsolutions_Government-Staff-and-Salary-data-template-October-2011-est-senior.csv
30/09/2011,Boundary Commission for England,/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls,2012-01-19T00:00:00,published,2012-01-19T13:40:00,/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2-junior-data.csv,/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2-senior-data.csv,boundary-commission-for-england__30-09-2011__cabinet-office_BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls,boundary-commission-for-england__30-09-2011__cabinet-office_BCE-staff-and-salary-data-FINAL-TEMPLATE-v2-junior.csv,boundary-commission-for-england__30-09-2011__cabinet-office_BCE-staff-and-salary-data-FINAL-TEMPLATE-v2-senior.csv
