"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"1UKBA37","","SCS1","Area Director South East","'South East Area Director is responsible for leading local immigration teams in the South-East of England.� They provide immigration services for their local area; enforcing immigration laws;removing people with no right to be here; detecting criminality;making and implementing asylum decisions;defending our decisions in court;working with businesses and colleges who bring foreign nationals to the UK; working closely with communities, police and local authorities.� Leads teams and public-facing offices in Croydon who: decide and process applications for temporary and permanent migration, issue travel documents, register asylum claims, answer MPs� correspondence, prepare appeals paperwork & manage sponsors across the region.'","Home Office","UK Border Agency","West London and South East England","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA12","30290000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA37","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person36"
"1UKBA01","","SCS1","Regional Director Midlands and East of England","'Regional Director for Midlands and East of England is responsible for a national capability programme for enforcement and enforcement support functions; managing operations in the region including Local Immigration Teams, reporting centres, an asylum decision-making team and support functions, Public Enquiry Office and court teams. Regionally, the Director for Midlands and East of England provides the lead on external engagement and drives the improvement of performance. As national lead for enforcement she has a focus on reducing cost, increasing efficiency and providing front line colleagues with the tools to do the job. The Regional Director is also the national lead for crime and counter terrorism issues.' ��","Home Office","UK Border Agency","Midlands and East Region","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA03","21900000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA01","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person5"
"1UKBA59","","SCS1","Director Counter Terrorism and Organised Crime","'The�Head of Counter-Terrorism and Organised Crime Unit formulates and assures the Agency�s contribution to the UK�s counter-terrorism effort and action against organised crime.'","Home Office","UK Border Agency","Counter Terrorism and Organised Crime","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA10","690000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA59","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person51"
"1UKBA50","","SCS1","Value for Money","'Value for money and productivity improvements are an integral part of UKBA�s spending review plans for the next 4 years. The Director of Value for Money leads�a small�specialist team who support the Agency in identifying, quantifying and delivering improved value for money, leading to efficiencies, cashable savings�and productivity improvements.'","Home Office","UK Border Agency","Value for Money","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA06","0","1","0","0","","Finance","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA50","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person56"
"1UKBA21","","SCS1","National Asylum Director","'The role of National Strategic Asylum Director is responsible for national asylum operations for the Agency. They are also responsible for the transformation of the asylum system and for asylum performance and improvement.�","Home Office","UK Border Agency","Immigration Group","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA12","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA21","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person22"
"2UKBA11","Philip Duffy","SCS2","Head of Policy & Strategy group","'Policy and Strategy Group�s core business is to: set the Direction and Priorities for UKBA; develop Policy Products; build the Knowledge Base and Capability; provide a Cross-Agency Cohesion and Challenge PSG �encompasses several different areas. Five of these areas come under the core PSG area, but there are a further three that are embedded into other areas of the business. The units that make up the core PSG: Simplification; Analysis, Research and Knowledge Management; Strategy; Central Policy Unit; MAC Secretariat. The units embedded into other areas of the business: International Policy.'","Home Office","UK Border Agency","Policy & Strategy Group","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3UKBA01","1220000","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/2UKBA11","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person67"
"1UKBA48","","SCS1","Legal Advisor","'The simplification team is involved in a consolidation and simplification of immigration law.'","Home Office","UK Border Agency","Legal Adviser","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3UKBA01","0","1","0","0","","Law","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA48","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person44"
"1UKBA43","","SCS1","Director Central Services","'Director responsible in Border Force for the delivery of the following key support services; Financial Planning, Management and Support; Business �and� Workforce Planning; Communications; Learning & Development Strategy and Delivery; Border Force HR Transformation programmes; Assurance; HMRC systems and services. Also the co-ordination across Border Force of: Health & Safety; Risk Management; Security; Business Continuity; Equality and Diversity; Professionalism. The Management of the following national customer facing teams: Complaints; Official Correspondence; National Post Seizure Unit; Civil Penalty Central Administration Unit; Debt Costs Recovery Unit.'","Home Office","UK Border Agency","Central Services","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA02","7990000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA43","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person41"
"1UKBA69","","SCS1","Programme Director - Immigration Casework Programme","'The Programme Directors responsibilities span the Immigration Case Work Programme which will move case working, off paper, off old computer systems and onto Integrity, the future case working system, enabling a transformation of case working to deliver an improved service to the public at lower cost to the Agency. The Programme Director oversees the work of the Deputy Programme Director and the Director of Strategy, Design and Change.'","Home Office","UK Border Agency","Immigration Group","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA03","3590000","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA69","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person54"
"1UKBA05","","SCS1","Chief of Staff to the Chief Executive","'Chief of staff: Objectives: Support the chief executive and the UKBA board in delivering their objectives; Enhance the development of policy and operations through challenge and support; Coordinate the ongoing programme of change and the agency�s response to the spending review; Manage liason with key parts of the scrutiny architecture, such as parliament, the Independent Chief Inspector and the NAO; Co-ordinate the agency response to high profile events that span agency business areas; Assist with the response to critical incidents, and provide an ongoing out of hours capability; Respond to media queries; Manage official and ministerial correspondence.'","Home Office","UK Border Agency","Policy and Strategy","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3UKBA01","270000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA05","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person8"
"1UKBA12","","SCS1","Regional Director for Wales and the South West","'The Regional Director provides a leadership and management role for the Agency in the region and is responsible for delivering the region�s key performance objectives and ensuring financial targets are met relating to income and cost savings.� She has responsibility for all regional operations through the regional local immigration teams involved in deciding asylum claims, local delivery of temporary migration applications and enforcing immigration law. The Regional Director is the Agency lead for corporate partnership relations with the Welsh Assembly Government and regional lead for liaison with other internal and external corporate partners including police, other enforcement agencies and local authorities.'","Home Office","UK Border Agency","Wales and South West Region","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA03","9280000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA12","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person15"
"1UKBA25","","SCS1","Head of Regional Operations","'Regional Operations Director North East, Yorkshire and the Humber Region is responsible forTemporary migration casework; Enforcement; Asylum and appeals; Management of the six Local Immigration Teams. The Regional Operations Director is responsible for the management and leadership of the operational staff in the Region, which is the national centre for temporary migration. A strategically significant role, focusing on delivery, outcomes and corporate partner relationships, as well as the management of high volume, complex workstreams, to deliver the Agency�s strategic objectives.'","Home Office","UK Border Agency","North East, Yorkshire and the Humber Region","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2UKBA09","1530000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/uk-border-agency/post/1UKBA25","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","person26"
