,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,EQV05,Tom Winsor,SCS3,HM Chief Inspector of Constabulary,"""HM Chief Inspector Of Constabulary has responsibility for all of HMIC's activities. HM Chief Inspector is Chair of the HMIC Board.""",Home Office,HM Inspectorate of Constabulary,Chief Inspector of Constabulary,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,XX,0.0,1.0,195000,199999,0,Operational Delivery,"Post previously coded 1HMIC01, team too small for detail, costs included in 1HMIC01",1
1,EQV01,Roger Baker,SCS2,HM Inspector of Constabulary Northern Region,"""HMI Northern has responsibility for police forces in the north of England. HMI Northern is Senior Responsible Owner for HMIC's value for money programme and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,Northern Region,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,EQV05,700000.0,1.0,185000,189999,0,Operational Delivery,Post previously coded 1HMIC02,1
2,EQV02,Zoe Billingham,SCS2,HM Inspector of Constabulary Eastern Region,"""HMI Eastern has responsibility for police forces in the east of England. HMI Eastern is Senior Responsible Owner for HMIC's police authority inspection programme and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,Eastern Region,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,EQV05,1220000.0,1.0,185000,189999,0,Operational Delivery,Post previously coded 1HMIC03,1
3,EQV04,Stephen Otter,SCS2,HM Inspector of Constabulary National ,"""HMI National has responsibility for the Metropolitan Police Service, the Police Service of Northern Ireland, the City of London Police, the British Transport Police, SOCA, HMRC, Ministry of Defence Police, Civil Nuclear Constabulary, Jersey, Guernsey, Cyprus and the Royal Gibraltar Police.  HMI National is also the HMIC's Senior Responsible Owner for Counter Terrorism, Protection from Serious Harm, the Olympic Games (2012), and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,National Team,"""N/A""",Haveyoursay@hmic.gsi.gov.uk,EQV05,1650000.0,1.0,190000,194999,0,Operational Delivery,Post previously coded 1HMIC04,1
4,EQV06,Drusilla Sharpling,SCS2,HM Inspector of Constabulary Western Region,"""HMI Western has responsibility for police forces in the west of England and in Wales. HMI Western is also Senior Responsible Owner for HMIC's criminal justice programme plus its work on rape and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,Western Region,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,EQV05,1360000.0,1.0,190000,194999,0,Operational Delivery,Post previously coded 1HMIC05,1
5,1HMIC01,N/D,SCS2,Chief Operating Officer,"""The Chief Operating Officer is responsible for execution of the HMIC Board's strategy. This includes developing and implementing HMIC's operating model and running HMIC's inspection support services. He is also HMIC's Senior Responsible Owner for the evolution of the Police Report Card and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,Chief Operating Officer,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,EQV05,1060000.0,1.0,0,0,0,Programme and Project Management (PPM),Post previously coded 1HMIC06,1
6,1HMIC08,Eliminated,SCS1,Public Order Review,"""The Programme Director - Police Governance Review is responsible for delivering HMIC's police authority inspection programme.""",Home Office,HM Inspectorate of Constabulary,Special Projects,,Haveyoursay@hmic.gsi.gov.uk,2HMIC01,0.0,1.0,0,0,0,Programme and Project Management (PPM),,1
7,1HMIC02,Eliminated,SCS1,Head of Workforce,"""The Head of Workforce is responsible for HMIC's value for money fieldwork, general police workforce advice and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,Workforce Team,,Haveyoursay@hmic.gsi.gov.uk,EQV12,0.0,1.0,0,0,0,Operational Delivery,Post previously coded 1HMIC08,1
8,1HMIC03,N/D,SCS1,Strategic Analysis Provider,"""The Strategic Analysis Provider is responsible for providing analytical support to HMIC operations and is a HMIC Board member.""",Home Office,HM Inspectorate of Constabulary,Strategic Analysis,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,EQV05,550000.0,1.0,0,0,0,Knowledge and Information Management (KIM),Post previously coded 1HMIC10,1
9,1HMIC07,N/D,SCS1,"Programme Director,  Police Integrity Review","""The Programme Director - Police Integrity Review is responsible for delivering HMIC's police aspects of the police integrity programme.""",Home Office,HM Inspectorate of Constabulary,Special Projects,0203 513 0500,Haveyoursay@hmic.gsi.gov.uk,EQV01,0.0,1.0,0,0,0,Programme and Project Management (PPM),"Team too small for detail, included in EQV01",1
