"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"1IPS13","'Eliminated'","SCS1","Director of Integrity and Security","'The Director of Integrity and Security is accountable for the security and integrity of Passports. This includes (a) in-contract monitoring, (b) setting standards and requirements for large-scale complex & novel procurements and (c) the development of HMG technical services e.g. cryptographical services, which allow electronic product signing and for UK Passports to be read electronically at the border. The Director of Integrity and Security also has overall responsibility for the effective and efficient management of Security, Information Assurance, Special Projects and Integrity within IPS.'","Home Office","Identity & Passport Service","Identity and Security","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","2IPS06","0","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS13","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person9"
"2IPS08","Paul Pugh","SCS2","Executive Director Operations","'The Operations Directorate is responsible for the production of 5.3 million passports per year to exacting standards delivered through a network of regional offices which process applications and produce passports and interview offices which are used to interview first time passport applicants The Directorate also provides a Passport Validation Service (PVS) to both public and private sector organisations. This service enables organisations to check the validity of passports presented to them against IPS records.'","Home Office","Identity & Passport Service","Operations","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","3IPS01","12720000","1","95000","99999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/2IPS08","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person3"
"1IPS18","","SCS1","Executive Director Human Resources & Organisational Development","'The Human Resources and Organisational Development directorate�s overarching objective is to develop and engage IPS people to drive the delivery of business strategy by making IPS a great place to work. To achieve its vision, HR focusses on: becoming strategic enablers; understanding and consistently delivering superior customer service; enabling people to prosper to achieve organisational capability and their potential; promoting a diverse and inclusive culture with a common understanding of shared goals; and enabling operational excellence by making IPS a place where people want to work at all stages of their career.'","Home Office","Identity & Passport Service","Human Resources","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","3IPS01","3600000","1","0","0","","Human Resources","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS18","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person8"
"1IPS23","","SCS1","Director of Operations (Application Processing and Registration Services","'The Director of Applications and Registration is accountable for the transformation and performance of the Application Processing Network and Registration Services.'","Home Office","Identity & Passport Service","Operations","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","2IPS08","45430000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS23","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person6"
"1IPS22","","SCS1","Director of Operations (Customer Service Network)","'The Director of Operations (CSN) is accountable for the performance of part of the IPS passport operations and has thematic responsibility for the transformation of the Customer Service Network, which is the public-facing aspect of IPS� service delivery.'","Home Office","Identity & Passport Service","Operations","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","2IPS08","180000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS22","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person7"
"1FC27","","SCS1","Executive Director Commercial for IPS; Home Office Head of Commercial Policy, Assurance & SRM","'Executive Director Commercial is Commercial Lead for IPS and a member of IPS Executive Committee. The postholder is also Home Office lead for Group Supplier Relationship Management; Commercial Policy and Procedure; Commercial Assurance and Commercial Lead for eBorders Programme.'","Home Office","Identity & Passport Service","IPS Commercial; Home Office Commercial Policy, Assurance & SRM","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","3IPS01","0","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1FC27","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person15"
"1IPS02","","SCS1","Director Corporate Services","The Corporate Services Director is accountable for the safe, secure, efficient and effective live running of all IPS passport, civil registration and IT administration systems, ensuring the technology both supports IPS's mission and core objectives, and operates in line with agreed service levels. The postholder is also responsible for Risk/Resilience policy, planning and standards as well as Health & Safety across the Agency. The postholder is responsible for Estates planning and maintenance.","Home Office","Identity & Passport Service","Finance and Performance","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","2IPS01","3700000","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS02","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person14"
"2IPS01","Alastair Bridges","SCS2","Executive Director Finance and Corporate Services","'The Finance and Corporate Services Directorate provides: The core corporate services required to ensure that IPS delivers its strategies and operational priorities in a way that is safe, secure, affordable and represents value for money, as well as ensuring risks are understood and managed well. Our functional responsibilities include: Finance; IT Operations; Estates; Health and Safety; Identification Technologies; Knowledge and Information Management; Security; Risk; and Assurance. The posholder is also SIRO for IPS and responsible for ensuring that the agency complies with legislative requirments on data handling and takes the lead on ensuring the integrity and security of our processes, products and services. '","Home Office","Identity & Passport Service","Finance and Performance","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","3IPS01","2880000","1","85000","89999","","Finance","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/2IPS01","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person5"
"1IPS04","'Eliminated'","SCS1","Executive Director General Register Office & Deputy Registrar General","'The primary role of the General Register Office (GRO) is to carry out the statutory functions of the Registrar General who is appointed by the Sovereign under the Great Seal of the United Kingdom. It was created in 1837 and has evolved over time to meet the challenges set by changes in society. It oversees the system of civil registration in England and Wales, separate arrangements exist for Scotland and Northern Ireland. The GRO is also responsible for carrying out duties given by statute to the Home Secretary. Ministerial oversight of the GRO is delegated by the Home Secretary to a Parliamentary Under Secretary of State within the Home Office.'","Home Office","Identity & Passport Service","General Register Office","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","3IPS01","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS04","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person12"
"1IPS10","'Eliminated'","SCS1","Director of Identity Assurance & Senior Responsible Officer for the Passport Programme","'The Director of Identity Assurance is accountable for the integrity of the UK passport, including (a) design of the passport book (b) effectiveness, efficiency and security of arrangements for production and personalisation of the passport (c) ensuring contractual obligations are fulfilled and performance levels for producing passport books meets operational needs (d) quality assurance of the passport ensuring its durability and interoperability at border control readers worldwide over its 10 year life (e) monitoring trends in passport failures, counterfeits / forgeries & ensuring polices and contingences are in place to address these (f) monitoring and influencing international developments in travel document standards.'","Home Office","Identity & Passport Service","Identity and Security","0207 035 4848 or Minicom 0207 035 4742","hqenquiries@ips.gsi.gov.uk","2IPS06","0","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/identity-and-passport-service/post/1IPS10","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","person10"
