"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"DfE-5026","","SCS1","Deputy Director","Responsible for the legislative framework for the opening closing and status of schools; faith schools policy lead for the Department; school land policy; the school admissions system, including legislation and parental preference; school transport policy; and developing new policy options for creating a more autonomous and high quality schools system.","Department for Education","Department of Education","IFD Academies Policy and School Organisation Group","0370 000 2288","","DfE-5020","1371111","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-5026","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person109"
"DfE-3026","","SCS1","Deputy Director","Deputy Director in the Education Strategy and Improvement Group: 1. Working with Local Authorities and other partners in selected regions to develop a shared and coherent strategy for school improvement and underperformance. 2. Tackling underperformance by developing a shared professional understanding for improvement in selected regions. 3. Ensuring coherence of school improvement policies and interventions (e.g Free Schools/Academies) across selected regions. 4. Ensuring that resources for school improvement in selected regions achieve maximum impact for money. 5. Ensuring that knowledge of what works in selected regions informs the development of school improvement and underperformance policy.","Department for Education","Department of Education","ESD Education Strategy and Improvement Group","0370 000 2288","","DfE-3020","1061088","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-3026","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person45"
"DfE-5014","","SCS1","Deputy Director","Joint Head of the Preventing Extremism Unit. Responsible for establishing and implementing a due diligence system to ensure that people with extremist views are not able to establish or take over schools; ensure that effective regulation, inspection and intervention for maintained, independendent and out of school learning are reviewed and reinforced; ensure that the DfE agenda is reflected appropriately in cross-Government work on preventing extremism; develop satisfactory arrangements to prevent extremists operating in the school workforce;","Department for Education","Department of Education","IFD Academies Delivery Group","0370 000 2288","","DfE-5010","0","0.6","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-5014","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person102"
"DfE-3061","","SCS1","Deputy Director","Head of Qualifications Policy Division with responsibility for:� 1. Overall DfE qualifications strategy.� 2. Section 96 approval of qualifications for use in maintained schools and colleges.� 3. General and vocational qualifications for students aged 14-19 including A Levels / GCSEs� / Diplomas.� 4.��� The English Baccalaureate.� 5.� The Wolf Review of Vocational Education.� 6. The Foundation Learning tier.� 7. Young Apprenticeships.","Department for Education","Department of Education","ESD Qualifications Stratefy and Reform Group","0370 000 2288","","DfE-3060","766497","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-3061","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person63"
"DfE-2040","Jeanette Pugh","SCS2","Director","Director of Safeguarding Group which has responsibility for safeguarding and child protection policy nationally. The Group is working with Professor Eileen Munro on her independent review of child protection and is leading work on a range of policies and initiatives to safeguard children including safe recruitment (vetting and barring) - child internet safety and anti-bullying. The Group also leads on policies concerned with vulnerable groups of children - including children and young people at risk of forced marriage - sexual exploitation - trafficking or domestic violence � and has responsibility for policy on children in employment and children who take part in entertainment.","Department for Education","Department of Education","CYPFD Safeguarding Group","0370 000 2288","","DfE-2001","379000","1","105000","109999","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-2040","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person19"
"DfE-5061","","SCS1","Deputy Director","Responsible for the 14-19 Group Finance / Finance and Challenge teams managing the interface with YPLA on c�8billion 16-19 funding. Functions include: 1. Ensure accuracy/challenge of directorate spending / budgets / forecasts / profiling. 2. Deliver monthly accounts requirements as set out by Central finance. 3. Consider / challenge / approve all revenue and capital proposals with financial implications including submissions. 4. Prepare and provide monthly reports to SMT and guidance to DG and SMT. 5. Lead on directorate SR process. 6. Provide governance and Value for Money (VFM) support to SMT/DG. 7. Hold YPLA to financial account","Department for Education","Department of Education","IFD Post 16 YPLA Resource Group","0370 000 2288","","DfE-5040","755689","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-5061","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person125"
"DfE-3021","","SCS1","Deputy Director","1. Policy on Schol Improvement 2. Policy development and delivery of the annual primary and secondary school performance tables.","Department for Education","Department of Education","ESD School Standards Group","0370 000 2288","","DfE-3020","814596","0.5","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-3021","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person40"
"DfE-4061","","SCS1","Deputy Director","Responsible for HR aspects of reform of Department's ALBs to ensure smooth transfer of staff and setting up of Executive Agencies through: engagement with ALB HR staff to agree effective transfer arrangements to new executive Agencies via TUPE/COSOP; constructive engagement with trade unions on people aspects of ALB reform; project lead for HR stands of Agency start up plans to ensure HR issues are dealt with in a timely and efficient manner to ensure Department is complying with employment legislation; effective harmonisation of terms and conditions for restructured Department.","Department for Education","Department of Education","FCSD People and Change Group","0370 000 2288","","DfE-4060","281078","1","N/D","N/D","","Human Resources","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-4061","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person86"
"DfE-4021","","SCS1","Deputy Director","The Service Management Unit (SMU) manages the delivery and support of a wide range of internal and externally-provided IT Services using processes and procedures based on ITIL v 3 standards. Our customers include: internal departmental staff: other Departments: Arms Length Bodies: Local Authorities and other education delivery partners. Our services range from departmental email and video-conferencing through to key public facing services such as the Online Free School Meals Eligibility Checking Service (OFSM - ECS).","Department for Education","Department of Education","FCSD Chief Information Officer and Property Asset Management Group","0370 000 2288","","DfE-4020","2837171","1","N/D","N/D","","Information Technology","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-4021","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person74"
"DfE-4003","James Frayne","SCS2","Director","Oversees the Department�s communications strategy and manages its communications team to ensure the Department�s internal and external messages are delivered effectively. Ensures the Department�s communications activity accurately reflects the priorities of the Secretary of State and other Ministers. Provides the Secretary of State and Ministers with ongoing communications advice and support.�Oversees major media announcements with the senior team. Develops and oversees the Department's engagement with important external stakeholders. Also responsible for the Department's Public Communications Unit (PCU) which deals with correspondence, the DfE telephone line and consultations.","Department for Education","Department of Education","FCSD Communications Group","0370 000 2288","","DfE-4001","2152660","1","100000","104999","","Communications","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-4003","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person70"
"DfE-2063","","SCS1","Deputy Director","Local and Community Policy Division: 1. Facilitation of stakeholder relations with Local Authorities and other partners and Local Authority communications. 2. the role of the local authority in education and children�s services 3. the framework for Children�s Trusts and other local partnership arrangements in the context of localism and decentralisation 4. Developing and implementing the Department's Big Society action plan including oversight of the Department's relationship with the voluntary and community sector and managing the cross-departmental Children and Young People and Families grant programme. 5. Providing financial and internal business support to Supporting Delivery Group.","Department for Education","Department of Education","CYPFD Supporting Delivery Group","0370 000 2288","","DfE-2060","1119221","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-2063","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person33"
"DfE-2021","","SCS1","Deputy Director","the policy for children looked after by local authorities (�children in care�) - care leavers and domestic and inter-country adoption policy and inter-country adoption case work.","Department for Education","Department of Education","CYPFD Families Group","0370 000 2288","","DfE-2020","1239999","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-2021","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person13"
"DfE-2010","Ann Gross","SCS2","Director","Leading the Group which supports Ministers in developing and implementing policies relating to the reform of early years and childcare, including Sure Start, early intervention and early education, as well as reforming provision for children with special educational needs and disabilities.","Department for Education","Department of Education","CYPFD Early Years Extended Schools and Special Needs Group","0370 000 2288","","DfE-2001","324848","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-2010","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person8"
"DfE-4010","David Hawker","SCS2","Director","The DG role provides high level oversight of the DfE/ALB Reform programme including acting as Senior Reporting Officer and representing DFE on the cross Government Public Bodies Steering Board. In scope are 17 ALBs forming part of the DfE group. The role includes maintaining relationships at strategic level with ALB Chief Executives/Chairs: external stakeholders (eg headteacher unions: LGA: Local Authority Directors and Chief Executives) and other Government Departments over the reform programme. As a consequence of the reform programme it also includes formulating ideas and contributing thinking towards a future operating model for DfE and the education sector in England.","Department for Education","Department of Education","FCSD Arms Length Bodies Reform Group","0370 000 2288","","DfE-4001","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-4010","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person71"
"DfE-4044","","SCS1","Deputy Director","Head of Campaigns and Partnerships - Leading senior management team through strategic and practical thinking to turn the high level role for communications in to clear and executable briefs.�Oversee and quality assures�creative approaches,�campaign delivery and�evaluation,�reporting to Ministers and policy teams directly or through virtual teams.��Responsible for�ensuring effective relationship management with ministers, senior policy officials, special advisors and key senior stakeholders, as well as quality assurance of�the team's work�and accountability for budget, risk management, VFM and management information. Lead the Department�s�ERG process for managing the Cabinet Office�s controls on paid-for communications.","Department for Education","Department of Education","FCSD Communications Group","0370 000 2288","","DfE-4001","755749","1","N/D","N/D","","Communications","","","http://reference.data.gov.uk/id/department/dfe/post/DfE-4044","/data/education/2011-03-31/DfE_March-2011-Upload.xls","person82"
